annual survey of hours and earnings  - resident analysis,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 3 January 2023],,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
sex,Full Time Workers,,,,,,,,,,,,,,,,,,,,,,
item name,Median,,,,,,,,,,,,,,,,,,,,,,
pay,Weekly pay - gross,,,,,,,,,,,,,,,,,,,,,,
confidence,Standard error as a percentage of the figure,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
local authority: district / unitary (as of April 2021),,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,
,,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
East Staffordshire,E07000193,478.9,6.0,492.5,6.7,469.2,6.3,478.2,7.7,500.6,7.4,489.6,6.1,504.3,6.2,523.9,4.0,573.9,3.9,574.8,5.7,600.6,6.3
Lichfield,E07000194,548.6,6.7,615.4,8.2,580.9,11.0,593.9,8.2,660.5,7.9,612.1,6.4,638.6,6.3,671.0,7.7,642.5,9.7,684.3,7.8,706.8,7.1
Newcastle-under-Lyme,E07000195,438.6,6.1,461.8,5.8,475.6,5.4,487.1,5.2,503.2,4.8,499.5,3.5,494.0,5.1,517.2,5.6,533.9,6.1,564.6,4.0,567.3,4.6
South Staffordshire,E07000196,533.8,5.8,539.1,6.6,508.0,7.0,545.6,5.7,568.3,5.8,590.8,5.9,582.6,6.8,628.6,5.5,667.2,7.5,628.1,5.7,675.3,7.2
Stafford,E07000197,521.7,6.1,538.7,6.5,538.0,4.1,533.4,5.4,552.0,7.0,561.0,6.2,569.0,4.0,608.2,5.2,585.5,6.2,613.3,6.0,683.4,4.8
Staffordshire Moorlands,E07000198,467.9,8.3,520.0,5.9,520.6,7.2,495.7,5.6,525.6,6.2,517.8,6.3,537.7,7.4,575.9,5.8,567.0,8.3,602.6,6.2,621.3,8.2
Tamworth,E07000199,480.8,8.1,483.1,8.3,457.1,6.1,478.9,7.0,492.1,7.4,496.6,5.3,520.7,5.8,524.0,4.9,504.2,7.0,559.5,9.9,639.2,8.2
North Warwickshire,E07000218,487.0,7.8,490.0,6.8,487.8,8.2,488.7,8.2,554.7,7.7,542.3,7.0,559.3,8.4,601.3,9.6,582.6,10.0,622.5,10.0,655.6,7.5
Nuneaton and Bedworth,E07000219,475.1,6.0,479.1,4.9,493.2,6.3,490.5,5.5,496.5,5.4,506.9,5.4,536.9,4.6,564.7,4.6,524.9,6.4,561.6,5.3,594.8,5.7
Rugby,E07000220,559.8,7.6,573.3,5.3,554.9,5.3,576.3,5.7,567.4,5.3,570.8,6.4,619.0,7.7,600.8,5.9,636.4,9.9,658.4,6.8,673.5,6.2
Stratford-on-Avon,E07000221,498.8,7.8,562.3,7.2,536.9,7.7,544.2,6.9,568.5,8.1,609.7,6.7,639.9,8.1,641.9,7.6,599.7,8.0,674.7,9.8,732.8,5.5
Warwick,E07000222,574.9,4.8,547.8,4.8,567.2,5.1,564.4,7.2,635.7,6.6,584.3,6.7,664.7,7.6,655.2,7.4,661.6,8.2,724.8,7.0,739.7,5.4
Birmingham,E08000025,464.7,2.1,479.1,2.4,479.1,2.0,488.2,2.0,495.0,2.3,523.1,2.4,531.5,2.8,536.6,2.4,551.6,3.5,562.7,2.6,591.5,3.3
Coventry,E08000026,476.8,4.2,486.3,4.0,479.7,3.7,509.7,4.2,531.8,3.7,535.8,4.1,561.2,4.0,540.7,3.3,565.9,4.8,602.6,5.6,630.6,4.3
Dudley,E08000027,453.5,4.3,479.1,4.2,470.9,3.7,495.6,3.3,507.8,4.3,517.7,3.7,527.0,3.9,571.8,3.5,563.4,3.9,589.1,4.3,615.4,4.4
Sandwell,E08000028,424.5,3.9,432.6,3.1,434.5,3.5,451.6,3.1,457.2,3.3,461.5,3.5,486.3,3.5,495.6,3.2,498.3,3.9,536.1,4.4,549.8,3.2
Solihull,E08000029,565.7,4.2,594.5,4.7,600.7,4.8,590.2,6.2,614.1,5.9,638.8,5.7,638.1,6.9,645.4,5.3,660.5,5.9,684.1,5.1,735.4,3.5
Walsall,E08000030,419.2,4.1,430.6,4.1,441.9,4.0,475.5,4.1,464.3,4.4,475.7,3.8,493.6,4.7,517.8,3.8,517.1,4.0,547.8,3.5,571.1,3.2
Wolverhampton,E08000031,431.4,4.7,433.0,4.3,440.0,4.0,434.2,3.5,442.3,4.2,445.8,3.7,488.0,3.8,499.7,3.7,499.4,4.3,562.1,4.3,569.3,3.6
Bromsgrove,E07000234,555.8,8.2,575.2,7.5,575.6,7.8,605.6,5.5,582.1,7.0,659.5,6.5,659.9,8.2,689.6,7.1,605.7,7.6,668.3,7.2,748.4,7.7
Malvern Hills,E07000235,487.9,10.0,454.2,12.0,445.8,12.0,535.2,12.0,496.7,13.0,542.6,9.9,538.5,8.9,558.6,10.0,574.9,15.0,595.6,13.0,592.5,14.0
Redditch,E07000236,422.3,5.8,426.7,6.8,450.4,6.1,428.3,6.4,437.7,5.8,454.0,5.1,484.3,6.7,527.2,7.8,460.1,5.9,504.7,5.9,537.4,7.2
Worcester,E07000237,499.1,5.6,501.7,6.2,503.4,6.6,528.1,5.1,546.7,6.3,546.2,5.4,539.5,4.7,546.3,5.6,523.4,6.9,579.2,7.3,643.2,8.8
Wychavon,E07000238,480.4,7.7,480.9,5.6,494.2,4.1,522.9,5.7,530.5,6.9,549.3,6.5,554.3,6.1,563.2,6.3,540.9,5.8,552.2,4.7,613.2,4.5
Wyre Forest,E07000239,421.4,5.9,464.0,7.0,477.7,6.9,499.4,7.4,495.8,9.0,474.5,8.5,486.8,7.2,553.6,8.2,559.4,7.1,582.3,7.9,612.1,8.6
Bedford,E06000055,517.5,4.8,555.7,4.6,530.9,4.6,556.5,5.5,584.0,5.7,565.7,5.5,575.9,4.2,577.4,4.5,624.0,4.9,624.5,4.2,638.2,5.3
Central Bedfordshire,E06000056,561.8,4.4,574.9,4.5,572.2,4.4,579.3,3.9,590.9,4.4,605.7,3.3,604.3,3.1,650.4,3.0,663.0,4.4,680.6,3.5,739.5,4.1
Luton,E06000032,482.9,4.2,489.4,3.9,475.7,4.3,489.0,5.5,504.0,5.8,528.5,5.1,541.8,4.6,560.5,4.7,578.1,5.5,583.0,5.2,616.5,5.1
Peterborough,E06000031,444.2,3.8,452.1,4.4,467.7,4.8,460.5,4.7,466.3,3.8,460.0,2.6,481.1,3.3,525.0,4.2,537.9,4.5,564.7,3.9,586.2,4.9
Southend-on-Sea,E06000033,532.4,4.9,514.3,5.5,547.9,5.4,541.2,4.5,561.9,5.6,573.6,5.7,593.4,5.7,614.4,4.8,638.0,8.2,667.3,6.6,697.7,7.1
Thurrock,E06000034,539.2,4.3,550.6,4.9,555.7,3.8,563.3,4.0,576.8,5.2,556.1,4.7,575.0,5.3,631.7,4.0,630.6,5.1,670.0,5.3,702.0,5.4
Cambridge,E07000008,617.7,7.5,572.3,5.8,575.6,4.7,583.3,6.0,589.1,4.6,595.6,4.2,633.3,4.8,632.1,4.3,660.2,5.0,728.9,5.7,748.6,4.4
East Cambridgeshire,E07000009,536.8,6.9,516.7,5.6,525.5,8.9,566.5,7.7,564.7,7.3,605.2,7.8,572.2,6.8,614.6,6.4,579.4,8.7,625.6,8.8,637.8,6.9
Fenland,E07000010,424.1,7.9,456.6,6.5,468.9,6.5,459.8,6.9,505.0,6.2,495.8,5.5,492.3,6.0,532.2,6.1,534.2,6.6,548.6,6.4,593.8,7.2
Huntingdonshire,E07000011,551.8,4.7,542.9,4.7,552.9,4.2,543.2,4.1,570.1,3.4,586.1,4.4,600.6,4.0,595.1,3.8,593.0,4.3,588.9,4.1,642.0,4.0
South Cambridgeshire,E07000012,616.4,6.1,634.0,5.9,623.2,6.4,618.9,5.3,671.3,5.7,691.9,5.8,743.3,5.0,755.4,3.8,716.1,5.4,776.7,6.0,767.7,4.5
Basildon,E07000066,547.4,5.8,577.8,5.1,543.8,6.8,556.8,4.4,569.2,4.9,573.8,5.1,588.8,4.7,603.9,4.3,586.0,5.2,630.4,4.7,618.8,8.0
Braintree,E07000067,566.3,4.4,598.2,4.5,575.8,6.0,588.8,6.3,599.3,6.6,579.6,5.6,627.8,4.9,615.7,5.9,589.9,7.5,600.9,6.7,688.1,6.7
Brentwood,E07000068,661.5,10.0,723.9,9.4,716.0,9.4,724.4,9.9,754.5,8.4,728.6,9.3,760.7,9.2,811.2,7.3,787.7,17.0,665.4,9.9,822.6,12.0
Castle Point,E07000069,512.1,9.4,537.2,9.9,568.1,6.8,550.0,7.8,555.7,9.3,632.4,8.0,611.0,8.6,609.6,8.6,615.1,7.6,620.8,8.4,660.6,10.0
Chelmsford,E07000070,597.6,5.7,587.7,6.1,583.1,5.8,601.1,5.5,607.2,6.3,595.0,5.3,625.5,5.2,637.7,5.9,630.6,8.3,659.2,7.0,689.9,6.2
Colchester,E07000071,526.3,5.0,513.4,4.5,522.9,4.3,530.5,4.4,566.4,5.2,581.3,4.1,574.9,4.8,602.7,5.0,600.1,6.4,590.2,6.1,699.7,5.4
Epping Forest,E07000072,624.5,7.8,600.0,7.0,649.4,7.8,668.4,7.3,637.4,7.7,632.5,8.7,674.6,7.7,708.9,7.5,698.8,7.8,664.8,8.6,767.4,8.1
Harlow,E07000073,475.3,6.2,487.2,6.7,478.0,4.8,487.7,5.9,511.0,7.1,523.6,5.0,525.5,5.9,520.5,5.7,523.9,9.3,532.5,7.3,584.7,6.2
Maldon,E07000074,654.2,9.4,667.3,6.4,598.6,12.0,609.7,13.0,680.7,11.0,608.4,8.1,623.6,8.7,672.1,8.7,658.5,10.0,726.1,9.9,708.5,10.0
Rochford,E07000075,549.3,11.0,586.5,8.7,572.1,11.0,574.4,9.9,670.1,8.7,642.8,9.5,733.5,8.8,725.3,12.0,654.2,11.0,751.8,8.1,730.9,7.8
Tendring,E07000076,491.1,6.9,497.0,8.0,500.2,6.3,490.6,6.3,498.1,5.8,511.6,6.8,542.2,8.2,556.3,6.9,561.5,6.1,573.7,5.4,603.9,7.8
Uttlesford,E07000077,576.6,8.7,583.4,8.4,594.5,8.9,604.7,8.6,692.0,11.0,631.1,10.0,638.6,8.5,690.0,9.2,650.6,9.2,719.4,10.0,759.4,10.0
Broxbourne,E07000095,564.6,5.6,595.3,6.5,589.3,6.6,615.3,7.1,589.4,6.2,628.3,6.4,631.5,7.2,628.4,6.7,755.5,7.0,684.1,7.5,684.8,8.7
Dacorum,E07000096,565.3,6.0,559.7,6.5,574.9,6.5,600.7,7.6,636.3,6.3,612.6,6.9,670.8,6.3,624.4,5.5,629.8,8.0,689.9,7.2,691.1,8.4
East Hertfordshire,E07000242,632.4,5.9,589.9,5.1,596.8,4.7,641.0,5.1,646.3,5.5,675.1,4.9,670.8,6.1,747.9,6.6,699.9,8.0,760.4,8.1,858.5,7.7
Hertsmere,E07000098,531.8,7.8,559.6,6.8,516.6,7.9,541.0,6.7,574.9,6.4,616.1,6.3,644.4,5.0,676.2,6.1,652.7,8.6,664.6,9.1,644.9,6.4
North Hertfordshire,E07000099,625.2,5.1,644.6,4.6,636.1,6.1,634.9,5.2,671.1,5.9,688.1,5.0,667.5,5.5,711.7,5.9,694.6,7.4,766.1,4.8,781.0,6.3
St Albans,E07000240,674.7,6.6,733.8,6.1,734.0,6.3,700.5,6.0,767.3,8.0,761.9,6.4,811.6,6.2,766.6,7.1,840.8,7.6,862.4,7.0,842.2,6.2
Stevenage,E07000243,545.0,6.4,529.6,7.3,533.6,6.6,544.9,8.1,534.5,8.1,564.7,6.1,611.5,6.9,557.9,6.1,621.2,7.5,577.8,8.3,612.5,8.2
Three Rivers,E07000102,599.5,8.8,632.0,9.5,631.3,8.8,606.5,7.3,643.0,8.4,656.4,9.7,676.0,9.1,643.8,10.0,679.4,12.0,663.5,9.0,756.0,8.8
Watford,E07000103,639.3,6.1,646.3,7.5,594.5,5.8,611.3,6.8,628.3,8.3,640.0,5.5,589.6,7.5,663.9,6.2,594.8,7.8,617.2,5.7,644.7,8.5
Welwyn Hatfield,E07000241,558.2,6.7,589.2,5.9,592.1,5.3,576.1,6.7,595.4,6.5,602.3,5.1,618.5,6.0,614.8,5.6,667.2,8.6,670.8,7.1,688.8,7.2
Breckland,E07000143,448.1,7.4,442.8,6.7,449.3,6.0,451.2,7.0,463.4,6.5,463.8,6.1,498.3,3.7,516.9,3.6,519.4,5.3,521.1,4.4,593.7,4.7
Broadland,E07000144,515.4,6.4,530.2,6.6,515.4,5.3,526.8,6.6,545.2,7.0,521.9,6.9,555.4,6.7,560.6,5.4,560.6,7.1,564.8,7.5,630.5,7.7
Great Yarmouth,E07000145,468.2,7.9,455.4,7.3,429.8,7.3,448.0,9.0,463.9,10.0,447.5,8.9,482.5,6.9,479.3,7.7,473.2,7.6,516.9,5.2,593.0,4.8
King's Lynn and West Norfolk,E07000146,468.0,6.3,432.1,5.9,478.6,5.0,464.6,5.2,497.9,5.5,507.1,5.3,516.5,7.0,549.9,5.8,560.3,7.9,558.2,4.4,585.3,4.8
North Norfolk,E07000147,390.7,6.3,411.2,8.1,465.6,8.2,437.1,8.0,456.5,7.5,457.1,7.3,488.7,6.0,494.9,5.5,492.8,6.9,559.4,8.1,578.7,7.6
Norwich,E07000148,437.6,5.3,460.9,6.6,432.2,4.3,465.8,8.2,460.0,6.1,494.9,4.9,475.3,5.3,504.0,6.2,517.6,6.6,601.2,6.7,594.0,7.9
South Norfolk,E07000149,553.8,6.9,526.6,7.3,528.8,6.5,533.6,8.2,539.7,5.7,536.2,6.6,594.3,6.2,602.1,5.7,587.1,6.1,600.4,5.2,619.0,6.6
Babergh,E07000200,490.4,7.8,517.9,9.1,521.4,9.1,540.1,6.6,545.7,8.9,562.3,7.0,580.0,8.8,615.0,8.8,558.8,9.5,574.9,7.6,587.5,7.5
Ipswich,E07000202,454.3,5.6,459.2,5.5,471.8,6.7,479.9,5.8,492.9,5.9,508.7,6.5,501.4,5.9,549.6,5.7,518.0,5.7,552.0,4.9,593.3,5.7
Mid Suffolk,E07000203,463.6,5.8,508.0,6.0,506.0,6.7,512.5,7.3,501.8,5.5,508.6,5.3,546.2,5.4,569.1,6.0,552.3,7.3,597.9,6.2,628.1,7.0
East Suffolk,E07000244,-,-,-,-,-,-,-,-,-,-,-,-,531.2,4.3,564.3,4.6,545.5,4.9,547.6,5.0,596.7,5.9
West Suffolk,E07000245,-,-,-,-,-,-,-,-,-,-,-,-,538.6,3.6,545.2,5.0,523.0,5.9,578.8,6.7,612.6,5.5
Camden,E09000007,694.6,4.4,717.9,4.3,718.7,4.8,726.4,6.5,737.5,7.0,725.5,5.9,766.6,5.7,795.4,6.0,745.3,7.1,787.1,4.7,771.0,6.3
City of London,E09000001,#,#,#,#,#,#,#,#,"1,034.1",20.0,#,#,"1,032.2",19.0,#,#,#,-,#,#,#,#
Hackney,E09000012,597.2,3.2,594.9,4.8,612.7,3.7,602.1,3.2,613.3,4.0,659.8,2.7,659.1,4.1,709.2,3.5,702.5,5.0,703.3,6.1,790.1,5.9
Hammersmith and Fulham,E09000013,692.1,5.1,668.9,4.4,670.8,3.9,686.3,3.8,699.1,5.0,709.8,3.7,748.5,3.7,795.3,3.9,788.0,5.2,803.0,5.8,821.1,6.4
Haringey,E09000014,585.1,4.2,565.6,4.3,573.8,4.4,576.5,3.7,575.3,3.3,624.4,3.7,653.4,4.0,670.8,3.2,707.9,5.0,704.9,5.6,713.1,5.0
Islington,E09000019,677.5,5.2,670.2,5.5,688.3,5.7,670.8,4.1,713.7,4.7,721.5,3.7,804.6,4.7,801.0,4.9,819.7,6.3,784.7,7.7,806.5,5.0
Kensington and Chelsea,E09000020,784.7,11.0,823.0,8.4,791.3,11.0,771.4,12.0,735.0,8.3,854.8,7.7,831.2,10.0,901.3,11.0,916.6,10.0,977.0,9.6,812.8,9.0
Lambeth,E09000022,625.8,3.2,629.6,3.5,628.3,3.9,616.5,3.5,616.2,3.0,666.1,3.6,689.9,3.7,714.4,2.7,766.6,4.4,747.4,4.8,785.9,3.9
Lewisham,E09000023,594.1,3.3,618.7,3.6,604.8,3.2,606.6,3.5,617.0,3.7,633.7,3.8,622.2,4.1,654.1,4.2,689.7,5.5,708.0,4.9,698.4,4.1
Newham,E09000025,521.9,3.5,498.3,4.7,508.3,4.2,505.8,3.6,524.2,3.5,584.9,3.2,587.7,4.2,622.8,3.8,631.6,4.8,677.1,5.5,710.3,4.0
Southwark,E09000028,631.4,3.9,632.0,4.1,620.9,3.8,642.4,3.9,643.4,3.9,670.1,4.4,672.1,3.5,709.1,3.7,732.9,5.8,728.9,5.5,774.2,5.0
Tower Hamlets,E09000030,649.9,4.1,659.8,4.5,662.6,3.7,634.7,5.1,664.7,4.3,710.4,4.1,725.5,4.5,780.4,4.2,779.2,5.7,797.5,5.5,806.9,4.5
Wandsworth,E09000032,689.6,3.1,704.2,3.0,708.3,3.2,719.7,3.0,762.3,3.5,757.4,3.2,773.5,5.1,811.8,3.8,807.0,5.1,838.4,4.6,942.6,4.5
Westminster,E09000033,805.6,5.9,737.5,7.5,766.6,5.7,766.5,6.3,781.8,6.1,807.4,5.8,833.7,6.0,812.8,6.6,817.3,8.8,840.5,5.3,865.9,6.5
Barking and Dagenham,E09000002,549.2,3.8,521.4,5.0,511.8,4.3,534.1,4.2,543.3,4.0,555.9,5.3,572.3,4.3,589.8,3.9,580.7,6.0,639.4,4.7,638.2,6.1
Barnet,E09000003,596.8,3.9,611.9,3.9,617.6,4.6,628.5,3.4,637.7,4.1,690.0,4.9,677.6,4.4,677.5,4.8,663.1,7.3,686.3,4.8,735.6,4.6
Bexley,E09000004,611.8,3.8,616.0,4.7,612.4,4.1,609.0,4.6,646.7,5.1,624.6,4.8,641.5,4.5,671.0,4.2,731.4,6.1,716.0,5.8,780.6,4.7
Brent,E09000005,542.8,3.7,536.8,4.3,547.5,3.8,553.2,5.0,544.4,3.3,563.5,3.2,574.9,3.4,609.6,3.5,639.5,5.0,631.8,4.2,678.6,4.9
Bromley,E09000006,670.8,3.3,684.8,3.6,697.9,3.9,682.1,3.8,714.5,4.0,737.4,4.5,753.7,3.9,785.3,4.3,805.9,5.1,789.6,4.0,803.6,4.0
Croydon,E09000008,579.9,3.3,569.0,3.5,591.8,3.0,602.1,3.5,602.9,2.8,631.0,3.5,653.6,3.7,671.4,2.9,676.8,4.3,710.7,3.3,760.7,3.6
Ealing,E09000009,565.7,3.6,566.4,3.1,575.0,3.2,561.5,3.4,580.5,3.7,597.9,3.6,631.5,3.4,622.4,3.9,632.3,5.8,678.6,5.1,711.7,4.3
Enfield,E09000010,555.0,4.6,558.8,4.0,557.8,3.9,565.9,3.8,574.9,5.2,587.7,4.6,590.0,3.7,638.9,4.9,643.2,6.4,670.5,6.7,708.8,5.8
Greenwich,E09000011,583.9,4.1,588.2,3.6,590.5,4.4,597.3,3.9,597.6,2.9,638.9,3.8,659.9,3.7,679.6,3.9,684.0,4.3,739.5,5.0,746.8,6.6
Harrow,E09000015,594.8,5.4,570.6,4.5,592.9,4.1,626.9,4.8,636.4,5.0,656.1,5.3,671.6,4.9,693.5,4.1,715.4,5.5,735.3,6.0,798.8,7.1
Havering,E09000016,584.3,4.3,594.1,4.3,615.4,4.6,624.7,4.4,622.9,4.4,631.0,3.7,641.8,4.4,650.4,4.2,690.2,4.7,706.6,3.7,709.1,4.8
Hillingdon,E09000017,597.7,4.0,596.0,4.4,577.5,3.7,603.6,3.8,613.3,3.8,574.9,4.4,604.1,3.2,621.7,4.0,653.4,5.6,699.1,3.7,761.9,5.1
Hounslow,E09000018,564.0,3.8,558.6,4.4,562.6,4.1,560.6,3.8,585.8,3.7,596.5,4.2,617.4,4.0,658.8,3.9,589.2,5.2,677.1,5.0,700.5,4.2
Kingston upon Thames,E09000021,679.5,3.7,690.2,4.4,704.2,4.9,710.2,5.1,707.8,6.4,706.9,5.7,736.7,4.5,742.8,5.5,759.4,7.0,766.6,6.5,797.2,8.3
Merton,E09000024,614.0,5.6,631.2,5.2,614.2,4.8,619.6,4.6,663.3,5.0,675.0,5.9,688.3,5.3,710.4,6.6,703.7,9.8,690.1,8.3,713.2,6.8
Redbridge,E09000026,629.4,4.7,602.8,4.2,616.4,3.9,653.7,4.6,603.0,5.1,644.9,4.8,633.2,3.9,683.9,4.8,703.9,5.9,729.9,6.0,724.8,5.3
Richmond upon Thames,E09000027,756.0,6.3,747.3,4.3,763.9,4.6,743.9,4.6,784.6,4.9,739.9,6.5,799.4,5.4,820.3,5.7,885.0,9.1,818.3,6.2,835.8,7.6
Sutton,E09000029,593.5,3.7,594.6,3.1,581.4,4.1,605.6,3.8,638.0,4.1,639.5,4.5,659.7,5.1,668.6,4.8,651.1,6.0,699.6,5.0,696.8,5.3
Waltham Forest,E09000031,527.7,4.0,528.5,4.1,542.9,3.8,546.9,3.3,577.1,3.3,574.9,4.4,622.9,4.3,680.3,4.1,716.2,4.6,729.4,4.5,754.0,5.8
Bracknell Forest,E06000036,570.5,4.5,607.7,6.2,587.1,5.0,589.1,5.8,609.3,4.9,629.8,6.1,608.9,5.7,682.1,6.2,687.8,7.4,726.5,6.3,729.0,6.7
Brighton and Hove,E06000043,529.1,4.8,523.9,4.3,543.6,4.3,542.9,4.1,561.2,4.3,577.9,4.5,584.0,3.6,610.9,4.0,630.6,4.5,617.8,4.5,640.5,4.8
Isle of Wight,E06000046,456.7,7.8,443.4,7.5,463.8,7.5,480.6,6.4,491.6,7.5,496.8,7.2,481.2,6.3,509.2,6.3,535.6,6.1,564.1,7.7,534.8,6.7
Medway,E06000035,527.2,4.3,539.3,4.8,548.6,4.4,547.9,3.8,565.0,3.7,558.0,4.0,588.5,4.1,610.0,3.2,600.4,4.3,602.8,4.1,601.7,4.8
Milton Keynes,E06000042,536.6,5.4,537.6,4.5,522.0,5.2,533.6,5.1,556.0,4.4,576.2,4.6,588.0,3.3,636.8,3.8,613.3,5.2,642.1,6.1,689.9,4.9
Portsmouth,E06000044,479.7,3.8,466.9,4.8,486.2,3.6,513.4,3.8,510.2,4.9,503.1,4.3,512.7,5.0,563.9,4.8,538.5,5.6,604.0,5.4,621.9,4.6
Reading,E06000038,593.4,4.7,583.7,4.7,574.9,5.2,565.8,5.2,560.8,4.9,604.8,5.4,613.0,3.8,610.8,4.8,635.8,6.6,658.2,5.8,698.7,6.8
Slough,E06000039,518.0,3.9,518.1,4.5,527.8,3.9,540.1,3.6,524.2,4.4,556.1,4.3,602.1,4.2,613.6,5.4,619.6,5.0,645.6,5.0,657.5,4.8
Southampton,E06000045,469.0,4.3,474.5,4.4,487.3,4.8,502.4,4.1,498.3,4.0,521.0,4.2,527.1,3.2,553.1,3.3,561.0,4.6,608.2,4.0,642.8,3.4
West Berkshire,E06000037,574.9,6.1,574.0,6.8,588.0,6.6,602.8,4.2,625.9,4.6,625.6,5.4,633.3,6.0,706.0,5.4,627.5,6.8,649.2,7.0,686.5,5.0
Windsor and Maidenhead,E06000040,723.4,4.9,684.6,8.5,668.9,7.2,694.0,7.3,703.3,6.3,700.0,7.7,718.7,7.4,781.9,7.1,755.3,7.8,729.0,7.0,759.1,7.6
Wokingham,E06000041,665.8,7.1,672.7,6.2,657.3,6.4,670.8,7.8,739.7,6.2,669.3,5.6,737.6,5.9,737.6,6.2,696.0,6.6,750.1,7.3,801.5,7.4
Buckinghamshire,E06000060,600.9,3.7,603.7,3.6,611.8,3.0,613.3,3.9,622.8,2.7,638.1,3.6,660.5,3.0,670.7,3.1,670.8,4.1,689.9,3.4,717.3,3.3
Eastbourne,E07000061,488.7,9.0,481.9,7.9,493.5,8.4,528.0,8.0,522.9,6.9,504.2,9.3,547.6,7.1,535.9,8.9,539.0,9.9,543.8,9.2,630.6,7.5
Hastings,E07000062,417.9,4.3,415.6,6.3,454.2,6.4,446.0,6.4,444.1,7.0,467.6,8.7,490.6,9.5,498.9,6.5,481.5,7.6,543.1,7.3,532.0,6.7
Lewes,E07000063,527.7,7.2,540.4,5.6,544.4,7.9,552.5,7.0,559.1,8.0,530.4,9.7,566.1,7.2,651.4,6.2,631.7,8.3,670.7,5.6,670.8,6.5
Rother,E07000064,489.7,10.0,453.8,8.8,453.2,9.2,515.3,10.0,524.4,11.0,564.6,8.7,484.9,12.0,521.5,10.0,525.9,13.0,583.0,9.4,610.1,7.3
Wealden,E07000065,572.2,7.1,540.1,8.3,593.7,9.3,573.6,5.9,574.9,6.9,616.9,6.9,616.8,7.3,615.8,7.3,592.9,9.8,613.3,8.8,675.7,7.7
Basingstoke and Deane,E07000084,584.4,4.6,609.1,4.8,632.4,4.5,622.4,4.9,643.9,5.3,653.7,5.0,681.1,5.1,667.3,6.1,670.8,7.3,726.6,5.0,720.0,4.0
East Hampshire,E07000085,587.7,7.8,596.7,6.8,555.8,7.7,577.2,7.9,611.1,6.9,651.5,6.7,649.3,5.2,657.8,7.3,625.1,7.2,633.5,7.3,696.4,7.0
Eastleigh,E07000086,538.4,5.8,570.8,5.0,548.2,6.2,547.7,5.3,548.0,5.3,561.7,6.0,586.4,6.2,619.5,7.6,666.6,7.0,654.0,5.3,690.0,8.2
Fareham,E07000087,552.3,5.7,559.9,5.0,553.9,4.4,576.6,3.8,565.9,5.4,574.9,6.8,613.8,7.5,650.7,8.1,652.1,7.5,712.2,5.2,683.2,5.7
Gosport,E07000088,461.9,9.4,512.8,8.5,467.5,8.6,535.8,7.2,539.8,8.5,530.1,6.4,538.1,6.8,573.4,7.2,555.9,7.2,620.1,7.3,619.2,7.1
Hart,E07000089,690.7,7.1,668.1,8.5,657.6,7.8,708.2,7.4,624.3,9.2,715.2,7.6,669.2,7.7,710.6,8.2,717.4,8.9,770.7,10.0,808.4,8.1
Havant,E07000090,507.1,7.3,499.7,6.9,519.9,7.0,522.2,4.7,536.1,5.9,542.7,6.3,575.4,5.2,596.0,5.2,582.0,6.7,560.1,7.7,574.6,8.2
New Forest,E07000091,524.2,5.2,543.1,5.8,539.8,6.5,536.6,5.7,558.7,5.4,574.9,5.5,587.1,6.1,619.9,6.1,590.5,5.9,635.0,7.9,613.3,7.1
Rushmoor,E07000092,514.4,6.2,534.5,5.6,541.3,7.0,517.5,4.3,545.6,5.8,551.5,6.1,609.2,5.7,635.5,5.3,652.1,6.9,680.0,7.4,666.4,6.7
Test Valley,E07000093,525.2,4.8,518.4,4.5,526.3,5.6,601.8,5.2,617.9,5.0,629.9,4.8,662.1,4.9,615.9,6.1,603.4,7.0,634.6,6.0,698.0,5.3
Winchester,E07000094,671.7,6.4,615.2,7.9,609.2,6.8,639.3,7.6,665.9,8.1,682.5,6.7,723.3,4.9,690.7,6.4,688.6,6.1,695.6,5.5,748.7,7.4
Ashford,E07000105,496.6,7.2,512.5,4.7,507.4,5.9,549.0,6.9,544.3,4.9,559.3,5.9,580.1,7.4,607.5,7.0,571.9,8.6,597.9,7.7,668.4,7.5
Canterbury,E07000106,545.6,8.5,577.5,7.4,573.1,7.1,582.0,7.3,558.4,6.5,555.8,7.3,582.5,9.5,626.5,7.1,598.4,9.0,577.6,6.9,658.8,7.4
Dartford,E07000107,568.0,6.6,537.8,6.2,562.2,5.5,575.7,6.0,618.1,5.2,642.3,5.2,633.6,5.2,648.1,5.4,687.0,8.1,693.0,8.1,732.1,7.9
Dover,E07000108,507.9,6.9,501.8,9.0,532.9,7.7,497.7,6.9,501.4,6.6,523.0,6.5,574.6,6.4,594.5,8.9,610.6,11.0,642.5,7.0,670.3,5.7
Gravesham,E07000109,552.5,7.3,525.8,7.1,536.6,6.4,546.2,5.9,545.9,7.1,550.0,6.9,577.2,7.6,621.1,7.3,551.1,7.8,612.2,9.9,660.9,6.6
